Date,Zinc,WTI_Crude,Uranium,Tin,Copper,Hard_Logs,Soft_Logs,Hides,Lead,Nickel,Rubber,Soft_Sawn,Fish_Meal,Cotton,Coal,Iron_Ore,Hard_Sawn
4/1/2011,2255.181229,102.5161039,56.42797619,28812.92542,9160.425758,382.102947,184.756542,86.33315296,2554.657786,24305.88283,240.4564052,284.3232373,1619.894648,182.3538889,129.2834885,175.7444613,959.1642933
7/1/2011,2224.071284,89.71064402,51.81851852,24660.47493,8982.863095,444.7158434,164.8490735,84.53042933,2453.917027,22030.07504,211.0686606,310.3088186,1423.678085,126.7416667,129.0043831,175.8844877,965.2333
10/1/2011,1905.961616,94.02827561,52.57017196,20849.08663,7511.362734,408.9920583,162.3432528,75.6031746,1993.05312,18386.02837,163.5562793,308.1862227,1374.789214,103.5803319,122.9448253,140.8097475,911.7876
1/1/2012,2027.645635,102.8539827,51.88564815,22942.14791,8324.729618,373.2590887,160.0207174,76.54834055,2092.723124,19654.36418,174.7485114,310.1242039,1309.864977,100.4546898,120.7345083,141.8021645,882.8678167
4/1/2012,1928.876595,93.38358868,51.34074074,20555.08732,7870.241627,361.0118603,156.4302222,84.88419913,1974.617544,17154.93939,162.8670799,323.6087761,1522.800238,90.27101276,102.3093131,139.5137161,883.7930667
7/1/2012,1891.306061,92.20229644,49.11018519,19330.97008,7727.478561,355.0808301,162.1357386,84.49355272,1985.641667,16373.45341,134.7157163,320.0616663,1735.637084,84.1719697,92.6673539,111.7339394,864.2574667
10/1/2012,1952.26179,88.13278844,43.25925926,21609.21952,7913.248908,352.6894311,166.1196674,88.55253623,2201.245311,16984.20092,140.4293015,313.5685836,1928.907635,82.06619513,90.06039147,121.0556549,874.4497278
1/1/2013,2029.748864,94.35523464,42.8125,24037.54508,7922.346212,322.5313827,170.0819539,92.5952381,2291.201136,17305.28939,143.1361603,306.279131,1918.393974,89.88810606,98.20540584,148.333266,845.1608121
4/1/2013,1841.874802,94.17576219,40.65166667,20879.55397,7156.704563,301.7754776,184.9705801,100.2886364,2051.983135,14952.60357,131.7697351,345.4626314,1804.731721,92.74590909,92.00062075,125.4051443,837.3904464
7/1/2013,1860.297792,105.8017969,35.82322387,21312.3706,7084.053451,301.0886586,165.0892832,95.88203463,2101.910214,13953.32333,117.4825623,341.5939526,1581.868414,91.80745342,82.5799024,132.8106729,845.960794
10/1/2013,1908.742874,97.40502949,35.01126527,22896.8643,7162.858834,296.3412112,181.7631507,101.6108696,2113.905095,13908.73803,114.6463278,336.8037745,1542.18976,87.16098171,87.75045438,134.895671,882.6788688
1/1/2014,2026.45386,98.75795169,35.15486117,22636.28272,7030.238041,289.7847671,186.9317235,107.8650794,2101.426263,14660.96508,102.096564,344.6264481,1657.948465,93.98708514,83.58475959,120.4407937,901.9023333
4/1/2014,2071.427579,103.141241,29.83662583,23146.15,6795.276786,291.5148305,181.2550199,109.8239538,2097.117659,18467.82817,96.08159805,332.3340893,1861.619461,92.60420635,78.23460884,102.6644444,917.2895
7/1/2014,2310.732658,97.57220215,31.20045215,21915.19453,6995.811281,286.4732027,179.0508764,111.8069986,2182.438422,18584.21588,83.35866057,323.2564316,1973.626747,77.07125823,73.27069523,91.64215133,909.9683333
10/1/2014,2235.270997,73.06702174,37.76578581,19897.86744,6632.260214,260.3919029,189.6524686,111.6777616,2000.850171,15860.48906,73.46819809,331.2028008,2192.687493,68.72441339,67.82586217,74.80108696,862.6078333
1/1/2015,2079.845797,48.70159091,37.80113636,18369.98021,5833.16039,249.8961889,189.0649942,103.0488817,1810.421302,14392.84266,78.59019693,336.7000973,2031.861646,68.84825758,67.9068004,63.68333333,826.1655
4/1/2015,2192.20618,57.75685426,36.85894661,15589.80343,6056.62506,245.3833589,178.9957633,96.5469697,1942.212939,13055.83146,81.21753841,325.0064938,1744.205782,72.30597687,63.32460185,58.12770563,834.8128333
7/1/2015,1842.849852,46.50214537,36.47822166,15229.54951,5267.1,243.5813749,180.3968893,74.66143579,1716.964493,10578.88109,66.10476055,304.2102139,1558.896936,70.96889657,63.21395539,55.4948397,844.9316667
10/1/2015,1611.812049,42.03001631,36.12198852,15077.19661,4884.943001,245.2024098,175.8957044,71.64090909,1681.680736,9422.982864,57.01261969,306.0006443,1701.882432,69.54559885,56.32485312,47.2440586,827.092
1/1/2016,1677.299405,33.27574879,32.9347136,15438.60437,4674.734722,258.2391076,186.8448167,72.7725469,1738.046825,8507.679167,59.33550491,319.0781749,1466.351349,66.92619048,54.2152551,48.40986888,780.2583333
4/1/2016,1916.863997,45.5191342,27.70782828,16902.11916,4736.413835,275.7445398,178.7552018,73.47546898,1717.615512,8822.519805,75.21748602,328.6222571,1511.536215,71.21944805,55.13812925,56.3979798,782.2566667
7/1/2016,2251.564394,44.93610264,25.540804,18584.25722,4779.593254,290.7180908,179.6689555,74.20465839,1872.650541,10263.54329,76.08826659,325.7765253,1409.725255,79.72900433,70.70639301,58.61272665,716.1663333
10/1/2016,2514.172348,49.17401876,19.75739538,20810.0676,5280.847908,272.8057952,186.0090749,75.86111111,2138.301714,10786.97406,87.29297362,327.1098784,1286.203157,78.98063131,100.2674482,70.84018759,676.8355
